"disaster.event","user.anon","date","lon","lat","user_date_freq"
"41_AuFire1",1509,2013-10-17,151.430074,-22.36626113,2
"41_AuFire1",1514,2013-10-17,151.4340579,-22.31586039,2
"41_AuFire1",1523,2013-10-17,151.2501413,-22.63308409,13
"41_AuFire1",1535,2013-10-17,151.2829963,-22.6713193,4
"41_AuFire1",1539,2013-10-17,151.1964258,-21.40808973,5
"41_AuFire1",1546,2013-10-17,151.4425765,-22.31222992,3
"41_AuFire1",1555,2013-10-17,151.289296,-22.55812922,1
"41_AuFire1",1564,2013-10-17,151.0008894,-22.60939974,1
"41_AuFire1",1566,2013-10-17,150.9737599,-22.64639035,1
"41_AuFire1",1568,2013-10-17,151.0048416,-22.61144469,1
"41_AuFire1",1594,2013-10-17,150.9786342,-22.59334041,3
"41_AuFire1",1602,2013-10-17,151.2711811,-22.64188103,1
"41_AuFire1",1609,2013-10-17,150.9217036,-22.64904472,2
"41_AuFire1",1616,2013-10-17,151.3874524,-22.31529634,1
"41_AuFire1",1639,2013-10-17,150.9063149,-22.64971192,1
"41_AuFire1",1642,2013-10-17,151.1858339,-22.67622575,1
"41_AuFire1",1649,2013-10-17,150.7524598,-22.65040112,9
"41_AuFire1",1663,2013-10-17,151.3525915,-22.3568623,1
"41_AuFire1",1679,2013-10-17,150.7034073,-22.63597694,1
"41_AuFire1",1680,2013-10-17,151.142183,-22.62415633,1
"41_AuFire1",1713,2013-10-17,151.1809301,-22.6770698,1
"41_AuFire1",1717,2013-10-17,151.2859901,-22.6579629,2
"41_AuFire1",1722,2013-10-17,151.1384337,-22.67620366,1
"41_AuFire1",1724,2013-10-17,151.2828319,-22.62404622,2
"41_AuFire1",1729,2013-10-17,150.2840055,-22.56286612,3
"41_AuFire1",1737,2013-10-17,151.2876693,-22.6575443,1
"41_AuFire1",1743,2013-10-17,150.9704331,-22.61802966,1
"41_AuFire1",1744,2013-10-17,151.00562,-22.61179272,2
"41_AuFire1",1745,2013-10-17,151.2689111,-22.66602036,1
"41_AuFire1",1759,2013-10-17,151.0930495,-22.57317641,1
"41_AuFire1",1762,2013-10-17,151.3180008,-22.3887558,17
"41_AuFire1",1769,2013-10-17,151.296261,-22.59317729,1
"41_AuFire1",1774,2013-10-17,151.2859901,-22.6579629,2
"41_AuFire1",1776,2013-10-17,150.9454917,-22.62999673,1
"41_AuFire1",1780,2013-10-17,150.8508919,-22.67066372,4
"41_AuFire1",1784,2013-10-17,150.820947,-22.6446667,1
"41_AuFire1",1789,2013-10-17,150.8457867,-22.6314594,1
"41_AuFire1",1792,2013-10-17,150.724602,-22.64670272,1
"41_AuFire1",1796,2013-10-17,150.9794181,-22.6696004,1
"41_AuFire1",1797,2013-10-17,150.9042621,-22.64075876,6
"41_AuFire1",1800,2013-10-17,151.4854292,-22.14816563,6
"41_AuFire1",1804,2013-10-17,151.2964923,-22.60269949,2
"41_AuFire1",1808,2013-10-17,151.3079095,-22.52938607,60
"41_AuFire1",1816,2013-10-17,150.742338,-22.64464672,2
"41_AuFire1",1817,2013-10-17,151.0986091,-22.58324984,1
"41_AuFire1",1828,2013-10-17,151.2866736,-22.67699848,2
"41_AuFire1",1832,2013-10-17,151.2009309,-22.62427503,1
"41_AuFire1",1838,2013-10-17,151.2959221,-22.63308981,1
"41_AuFire1",1843,2013-10-17,151.2654505,-22.6409654,1
"41_AuFire1",1866,2013-10-17,150.9863962,-22.65862532,1
"41_AuFire1",1892,2013-10-17,150.7707978,-22.67801705,3
"41_AuFire1",1900,2013-10-17,151.4121335,-22.17721538,1
"41_AuFire1",1903,2013-10-17,150.9704331,-22.61802966,1
"41_AuFire1",1912,2013-10-17,151.3010739,-22.61124429,1
"41_AuFire1",1916,2013-10-17,151.469168,-22.27987445,1
"41_AuFire1",1921,2013-10-17,151.4934323,-21.68921066,1
"41_AuFire1",1938,2013-10-17,150.557766,-22.57522328,56
"41_AuFire1",1943,2013-10-17,150.7176235,-22.62942727,7
"41_AuFire1",1947,2013-10-17,150.4936906,-22.59035914,1
"41_AuFire1",1960,2013-10-17,150.9966517,-22.60553565,1
"41_AuFire1",1976,2013-10-17,150.971266,-22.60687718,12
"41_AuFire1",1978,2013-10-17,150.9871637,-22.64700545,1
"41_AuFire1",1985,2013-10-17,151.1792658,-22.67370578,1
"41_AuFire1",1986,2013-10-17,151.1787727,-22.67549149,1
"41_AuFire1",2025,2013-10-17,151.1343242,-22.58770341,1
"41_AuFire1",2032,2013-10-17,151.1183183,-22.65251145,2
"41_AuFire1",2042,2013-10-17,150.9340359,-22.6557674,4
"41_AuFire1",2047,2013-10-17,151.1743315,-22.66287508,1
"41_AuFire1",2062,2013-10-17,150.95974,-22.62668272,2
